번호,교과구분,개설대학,강좌번호,강의시간,1,2,1T,2T,수강정원,수강신청인원
19,교양,인문대학,ENGL0292-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,70,87
20,,,ENGL0351-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,70,72
21,교양,인문대학,ENGL0365-001,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,70,66
22,전공,인문대학,ENGL0422-001,월 2B3A3B금 1A1B2A,월,금,9:00,10:30,70,28
23,전공,인문대학,ENGL0441-001,월 2B3A3B금 1A1B2A,월,금,9:00,10:30,30,30
24,전공필수,인문대학,ENGL0443-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,70,6
25,전공,인문대학,ENGL0450-002,수 1A1B2A금 2B3A3B,수,금,10:30,9:00,30,26
26,전공,인문대학,ENGL0464-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,70,70
27,전공,인문대학,TCHR0473-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,30,7
28,전공,인문대학,TCHR0623-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,30,5
29,전공,인문대학,CLTR0023-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,50,4
30,전공,인문대학,CLTR0503-001,수 1A1B2A금 2B3A3B,수,금,10:30,9:00,70,7
31,전공,인문대학,FRAN0211-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,20,15
32,교직,인문대학,FRAN0234-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,70,24
33,교직,인문대학,FRAN0362-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,70,9
34,교양,인문대학,FRAN0449-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,70,30
35,,,CLTR0131-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,70,74
36,교양,인문대학,CLTR0210-002,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,30,28
37,,,CLTR0210-029,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,30,21
38,전공기초,인문대학,CUCD0303-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,70,9
39,전공기초,인문대학,GERL0451-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,20,7
40,전공,인문대학,GERL0506-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,70,70
41,전공,인문대학,CHIL0316-002,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,40,9
42,교양,인문대학,CHIL0351-001,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,20,19
43,교양,인문대학,CHIL0351-002,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,23,15
44,교양,인문대학,CHIL0365-001,수 1A1B2A금 2B3A3B,수,금,10:30,9:00,50,19
45,,,CHIL0371-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,20,6
46,융합전공,인문대학,CHIL0371-002,수 1A1B2A금 2B3A3B,수,금,10:30,9:00,20,7
47,전공,인문대학,CHIL0393-001,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,50,16
48,전공,인문대학,CHIL0567-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,30,30
49,전공필수,인문대학,CLTR0011-002,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,50,42
50,전공,인문대학,CLTR0554-001,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,50,32
51,전공,인문대학,CLTR0016-002,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,70,46
52,전공,인문대학,CLTR0038-001,수 1A1B2A금 2B3A3B,수,금,10:30,9:00,50,48
53,전공,인문대학,CLTR0040-001,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,50,10
54,전공,인문대학,CLTR0043-002,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,80,78
55,전공,인문대학,CLTR0101-002,수 1A1B2A금 2B3A3B,수,금,10:30,9:00,70,75
56,전공기초,인문대학,CLTR0474-001,월 2B3A3B금 1A1B2A,월,금,9:00,10:30,90,83
57,,,CLTR0577-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,80,74
58,교양,인문대학,CLTR0578-001,월 2B3A3B금 1A1B2A,월,금,9:00,10:30,70,5
59,,,HIST0211-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,60,26
60,교양,인문대학,HIST0232-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,60,23
61,교양,인문대학,HIST0234-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,60,59
62,교양,인문대학,HIST0352-001,월 2B3A3B금 1A1B2A,월,금,9:00,10:30,60,56
63,,,HIST0411-001,수 1A1B2A금 2B3A3B,수,금,10:30,9:00,60,28
64,교양,인문대학,HIST0527-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,60,43
65,,,TCHR0472-001,수 1A1B2A수 2B3A3B,수,수,10:30,9:00,10,5
66,교양,인문대학,CLTR0048-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,70,70
67,,,CLTR0067-001,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,70,68
68,교양,인문대학,CLTR0571-001,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,70,50
69,교양,인문대학,PHIL0322-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,90,93
70,,,PHIL0344-001,수 1A1B2A금 2B3A3B,수,금,10:30,9:00,70,69
71,교양,인문대학,PHIL0454-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,70,37
72,,,PHIL0585-001,월 2B3A3B금 1A1B2A,월,금,9:00,10:30,70,7
73,,,ARAN0212-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,70,54
74,교양,인문대학,ARAN0318-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,25,25
75,,,ARAN0333-001,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,70,49
76,전공,인문대학,ARAN0526-001,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,70,10
77,전공,인문대학,CLTR0046-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,90,89
78,전공심화,인문대학,CLTR0094-003,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,70,67
79,전공,인문대학,CLTR0210-003,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,30,30
80,전공,인문대학,CLTR0796-001,월 2B3A3B금 1A1B2A,월,금,9:00,10:30,70,13
81,전공필수,인문대학,CLTR0032-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,50,40
82,교직,인문대학,CLTR0128-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,70,70
83,교양,인문대학,CLTR0583-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,70,82
84,,,JPNL0202-001,월 2B3A3B수 1A1B2A,월,수,9:00,10:30,20,20
85,교양,인문대학,JPNL0202-002,수 2B3A3B금 1A1B2A,수,금,9:00,10:30,20,14
86,교양,인문대학,JPNL0202-003,월 2B3A3B금 1A1B2A,월,금,9:00,10:30,20,10
87,,,JPNL0301-002,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,50,19
88,융합전공,인문대학,JPNL0305-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,50,15
89,전공,인문대학,JPNL0312-001,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,50,20
90,전공심화,인문대학,JPNL0401-001,수 1A1B2A금 2B3A3B,수,금,10:30,9:00,20,17
91,전공심화,인문대학,JPNL0528-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,50,41
92,전공,인문대학,JPNL0530-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,50,28
93,전공,인문대학,CLTR0016-003,수 1A1B2A금 2B3A3B,수,금,10:30,9:00,70,66
94,전공,인문대학,CLTR0017-001,월 2B3A3B금 1A1B2A,월,금,9:00,10:30,70,69
95,전공,인문대학,CLTR0017-002,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,70,69
96,교양,인문대학,CLTR0210-005,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,30,22
97,,,KLCC0361-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,70,19
98,교양,인문대학,KLCC0423-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,70,15
99,,,KLCC0431-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,70,13
100,교양,인문대학,KLCC0521-001,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,70,14
101,교양,인문대학,CLTR0132-002,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,70,20
102,,,CLTR0255-001,수 1A1B2A금 2B3A3B,수,금,10:30,9:00,70,70
103,,,CLTR0458-001,월 2B3A3B금 1A1B2A,월,금,9:00,10:30,70,68
104,교양,인문대학,CLTR0508-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,95,96
105,교양,인문대학,CLTR0613-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,70,17
106,교양,인문대학,RUSS0316-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,30,16
107,,,RUSS0345-001,월 2B3A3B금 1A1B2A,월,금,9:00,10:30,20,12
108,전공기초,인문대학,RUSS0345-002,수 1A1B2A금 2B3A3B,수,금,10:30,9:00,20,21
109,전공기초,인문대학,RUSS0518-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,50,26
110,전공기초,인문대학,RUSS0524-001,월 2B3A3B금 1A1B2A,월,금,9:00,10:30,50,3
111,전공기초,인문대학,TCHR0480-001,수 1A1B2A금 2B3A3B,수,금,10:30,9:00,10,4
112,전공필수,인문대학,TCHR0591-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,10,1
113,전공,인문대학,COMP0209-001,화 1A1B화 2A2B화 3A3B화 4A4B,화,화,10:00,9:00,40,6
114,전공,인문대학,NOCT0212-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,50,10
115,전공,인문대학,CLTR0061-001,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,70,58
116,전공,인문대학,CLTR0588-001,월 2B3A3B금 1A1B2A,월,금,9:00,10:30,70,31
117,교양,인문대학,POLI0212-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,70,55
118,,,POLI0499-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,70,40
119,교양,인문대학,CLTR0067-002,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,70,63
120,교양,인문대학,CLTR0190-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,70,69
121,,,CLTR0682-001,수 1A1B2A금 2B3A3B,수,금,10:30,9:00,70,35
122,교양,인문대학,SOCI0211-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,70,41
123,,,SOCI0321-001,수 1A1B2A금 2B3A3B,수,금,10:30,9:00,70,32
124,전공,인문대학,SOCI0538-001,화 1A1B2A화 2B3A3B,화,화,10:30,9:00,70,3
125,전공,인문대학,CLTR0073-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,70,78
126,전공심화,인문대학,CLTR0112-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,70,82
127,전공심화,인문대학,CLTR0205-005,수 1A1B2A금 2B3A3B,수,금,10:30,9:00,30,29
128,교양,인문대학,GEOG0425-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,70,41
129,,,CLTR0041-003,월 2B3A3B금 1A1B2A,월,금,9:00,10:30,70,68
130,교양,인문대학,DIIM0214-001,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,40,43
131,,,LIBR0331-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,40,35
132,교양,인문대학,LIBR0469-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,40,49
133,,,LIBR0473-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,40,42
134,교양,인문대학,LIBR0478-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,40,42
135,,,CLTR0508-002,수 1A1B2A금 2B3A3B,수,금,10:30,9:00,70,70
136,교양,인문대학,PSYC0211-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,90,91
137,,,PSYC0301-001,월 1A1B2A금 1A1B2A,월,금,9:00,9:00,30,30
138,전공기초,인문대학,PSYC0361-001,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,70,69
139,전공,인문대학,PSYC0448-001,월 2B3A3B수 1A1B2A,월,수,9:00,10:30,70,78
140,전공,인문대학,PSYC0570-001,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,70,63
141,전공,인문대학,CLTR0073-002,화 2B3A3B목 1A1B2A,화,목,9:00,10:30,70,84
142,전공,인문대학,CLTR0101-005,월 1A1B2A수 2B3A3B,월,수,10:30,9:00,70,75
143,교직,인문대학,CLTR0210-007,화 1A1B2A목 2B3A3B,화,목,10:30,9:00,30,29
